,RegionName,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,Average2022
67,30032.0,274716.0,280824.0,285401.0,287876.0,292260.0,296469.0,298455.0,299427.0,298334.0,297722.0,297887.0,300439.0,292484.1666666667
68,30034.0,246523.0,253037.0,259052.0,263788.0,268821.0,274109.0,277812.0,280723.0,280552.0,279493.0,278448.0,279388.0,270145.5
69,30033.0,484166.0,492148.0,498915.0,503264.0,508656.0,513768.0,516515.0,518692.0,518137.0,518417.0,517716.0,518877.0,509105.9166666667
70,30030.0,651944.0,658819.0,667235.0,674258.0,679111.0,684054.0,684699.0,687033.0,686242.0,685330.0,683846.0,689496.0,677672.25
71,30135.0,308173.0,315049.0,320294.0,325431.0,330556.0,336637.0,340289.0,343488.0,343672.0,343515.0,342525.0,342772.0,332700.0833333333
72,30134.0,275064.0,281470.0,288133.0,294227.0,299928.0,305030.0,307334.0,309376.0,308819.0,308200.0,307619.0,307089.0,299357.4166666667
73,30096.0,367999.0,372967.0,379009.0,388162.0,397087.0,402436.0,401778.0,399887.0,398482.0,398590.0,399181.0,397737.0,391942.9166666667
74,30097.0,637407.0,650747.0,662177.0,677410.0,692709.0,705970.0,711339.0,710126.0,709327.0,708940.0,712681.0,713709.0,691045.1666666666
75,30338.0,645797.0,657107.0,668178.0,676727.0,685813.0,693194.0,696279.0,697591.0,695134.0,693374.0,691504.0,694425.0,682926.9166666666
76,30360.0,470189.0,480320.0,489100.0,497452.0,505490.0,511831.0,514533.0,514868.0,513240.0,512509.0,512113.0,512220.0,502822.0833333333
77,,,,,,,,,,,,,,
78,30344.0,255632.0,263162.0,269790.0,276400.0,281033.0,284845.0,287590.0,288781.0,290814.0,291797.0,293699.0,294820.0,281530.25
79,30294.0,265064.0,271820.0,278738.0,285002.0,292025.0,298047.0,301661.0,303406.0,301673.0,300563.0,300116.0,301902.0,291668.0833333333
80,30137.0,249063.0,255648.0,261259.0,264713.0,270005.0,278693.0,285254.0,290276.0,292136.0,294452.0,295536.0,298034.0,277922.4166666667
81,,,,,,,,,,,,,,
